wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,Cell C,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,Cell A,wall,corridor,wall,jailer room,wall,wall,wall,wall,wall,wall,wall,wall
wall,dungeon entrence,corridor,corridor,corridor,corridor,corridor,corridor,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,corridor,wall,Cell D,wall,corridor,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,Cell B,wall,wall,wall,corridor,torture room,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
